embedding_model,classifier,repeat,seed,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
distilbert,CatBoost,1,42,0.8947916666666667,0.9892514395393474,0.9396536007292616,112913,2605,59.83071,0.12892
distilbert,XGBoost,1,42,0.9657534246575342,0.9742802303262956,0.969998089050258,112913,2605,15.342,0.37215
minilm,RandomForest,1,42,0.9963319578175149,0.8341650671785029,0.9080651901379022,112913,2605,223.25558,2.22519
minilm,LogisticRegression,1,42,0.29341886433832265,0.9481765834932822,0.44815386011067765,112913,2605,61.83782,0.01512
minilm,KNN,1,42,0.9691542288557214,0.7477927063339731,0.8442036836403034,112913,2605,0.18554,105.11503
minilm,MLP,1,42,0.901556420233463,0.8894433781190019,0.8954589371980677,112913,2605,112.9493,0.13225
minilm,CatBoost,1,42,0.8605271938605272,0.9900191938579654,0.920742591931453,112913,2605,60.19468,0.13368
minilm,XGBoost,1,42,0.9621068586585828,0.9746641074856046,0.9683447749809306,112913,2605,15.0132,0.37538
roberta,RandomForest,1,42,0.993984266543267,0.8245681381957773,0.9013848090642048,112913,2605,222.02092,2.22875
roberta,LogisticRegression,1,42,0.3060291574005436,0.9508637236084453,0.4630339284045238,112913,2605,103.73512,0.01499
roberta,KNN,1,42,0.9691542288557214,0.7477927063339731,0.8442036836403034,112913,2605,0.18379,105.16145
roberta,MLP,1,42,0.9128022195798653,0.8840690978886756,0.8982059282371295,112913,2605,105.52465,0.10889
roberta,CatBoost,1,42,0.8947916666666667,0.9892514395393474,0.9396536007292616,112913,2605,59.90926,0.12667
roberta,XGBoost,1,42,0.9657534246575342,0.9742802303262956,0.969998089050258,112913,2605,15.78045,0.37357
albert,RandomForest,2,43,0.9944700460829493,0.8284069097888676,0.9038743455497382,112913,2605,229.35585,2.22705
albert,LogisticRegression,2,43,0.29932950191570884,0.9596928982725528,0.45632928721365335,112913,2605,101.87083,0.01505
albert,KNN,2,43,0.9658584858980702,0.7493282149712092,0.8439256376999568,112913,2605,0.18543,105.09981
albert,MLP,2,43,0.9134233518665608,0.8829174664107485,0.8979113800507516,112913,2605,142.01316,0.11163
albert,CatBoost,2,43,0.8931297709923665,0.9880998080614204,0.9382176052487698,112913,2605,64.07219,0.13279
albert,XGBoost,2,43,0.9603174603174603,0.9754318618042227,0.9678156541611121,112913,2605,15.62374,0.37801
bart,RandomForest,2,43,0.9944700460829493,0.8284069097888676,0.9038743455497382,112913,2605,224.26772,2.2042
bart,LogisticRegression,2,43,0.29932950191570884,0.9596928982725528,0.45632928721365335,112913,2605,102.92153,0.01494
bart,KNN,2,43,0.9658584858980702,0.7493282149712092,0.8439256376999568,112913,2605,0.18225,106.15692
bart,MLP,2,43,0.9134233518665608,0.8829174664107485,0.8979113800507516,112913,2605,142.54358,0.11163
bart,CatBoost,2,43,0.8931297709923665,0.9880998080614204,0.9382176052487698,112913,2605,63.42902,0.14725
bart,XGBoost,2,43,0.9603174603174603,0.9754318618042227,0.9678156541611121,112913,2605,15.30284,0.3752
bert,RandomForest,2,43,0.9944700460829493,0.8284069097888676,0.9038743455497382,112913,2605,223.99695,2.30013
bert,LogisticRegression,2,43,0.29932950191570884,0.9596928982725528,0.45632928721365335,112913,2605,102.40512,0.01501
bert,KNN,2,43,0.9658584858980702,0.7493282149712092,0.8439256376999568,112913,2605,0.18407,106.10462
bert,MLP,2,43,0.9134233518665608,0.8829174664107485,0.8979113800507516,112913,2605,143.00566,0.11121
bert,CatBoost,2,43,0.8931297709923665,0.9880998080614204,0.9382176052487698,112913,2605,63.6208,0.13296
bert,XGBoost,2,43,0.9603174603174603,0.9754318618042227,0.9678156541611121,112913,2605,15.56035,0.37875
distilbert,RandomForest,2,43,0.9944700460829493,0.8284069097888676,0.9038743455497382,112913,2605,224.05774,2.29207
distilbert,LogisticRegression,2,43,0.29932950191570884,0.9596928982725528,0.45632928721365335,112913,2605,103.73621,0.01519
distilbert,KNN,2,43,0.9658584858980702,0.7493282149712092,0.8439256376999568,112913,2605,0.18291,106.20595
