embedding_model,classifier,repeat,seed,category,precision,recall,f1,nb_test,nb_0,nb_1
albert,LogisticRegression,2,43,OpenData,0.39194669756662803,0.981145757795504,0.5601324777478783,82786,81407,1379
albert,LogisticRegression,2,43,TPC-DI,0.2903918411164788,0.9541446208112875,0.44526748971193414,15466,14899,567
albert,LogisticRegression,2,43,Wikidata,0.1111111111111111,0.875,0.19718309859154928,542,534,8
albert,KNN,2,43,ChEMBL,0.9808153477218226,0.6430817610062893,0.7768281101614435,16648,16012,636
albert,KNN,2,43,Magellan,1.0,1.0,1.0,76,61,15
albert,KNN,2,43,OpenData,0.9883236030025021,0.8593183466279913,0.9193173002327386,82786,81407,1379
albert,KNN,2,43,TPC-DI,0.8900523560209425,0.599647266313933,0.7165437302423604,15466,14899,567
albert,KNN,2,43,Wikidata,0.375,0.375,0.375,542,534,8
albert,MLP,2,43,ChEMBL,0.9040852575488455,0.800314465408805,0.8490408673894912,16648,16012,636
albert,MLP,2,43,Magellan,1.0,0.9333333333333333,0.9655172413793104,76,61,15
albert,MLP,2,43,OpenData,0.945985401459854,0.939811457577955,0.9428883230265551,82786,81407,1379
albert,MLP,2,43,TPC-DI,0.8571428571428571,0.8359788359788359,0.8464285714285714,15466,14899,567
albert,MLP,2,43,Wikidata,0.3888888888888889,0.875,0.5384615384615384,542,534,8
albert,CatBoost,2,43,ChEMBL,0.8772919605077574,0.9779874213836478,0.924907063197026,16648,16012,636
albert,CatBoost,2,43,Magellan,1.0,1.0,1.0,76,61,15
albert,CatBoost,2,43,OpenData,0.9127248500999334,0.9934735315445975,0.9513888888888888,82786,81407,1379
albert,CatBoost,2,43,TPC-DI,0.875,0.9876543209876543,0.927920463960232,15466,14899,567
albert,CatBoost,2,43,Wikidata,0.4117647058823529,0.875,0.56,542,534,8
albert,XGBoost,2,43,ChEMBL,0.95141065830721,0.9544025157232704,0.9529042386185244,16648,16012,636
albert,XGBoost,2,43,Magellan,1.0,1.0,1.0,76,61,15
albert,XGBoost,2,43,OpenData,0.9734957020057307,0.9854967367657723,0.9794594594594594,82786,81407,1379
albert,XGBoost,2,43,TPC-DI,0.946917808219178,0.9753086419753086,0.9609035621198957,15466,14899,567
albert,XGBoost,2,43,Wikidata,0.5384615384615384,0.875,0.6666666666666666,542,534,8
bart,RandomForest,2,43,ChEMBL,0.9934497816593887,0.7154088050314465,0.8318098720292505,16648,16012,636
bart,RandomForest,2,43,Magellan,1.0,1.0,1.0,76,61,15
bart,RandomForest,2,43,OpenData,0.9992044550517104,0.9108049311094997,0.952959028831563,82786,81407,1379
bart,RandomForest,2,43,TPC-DI,0.988479262672811,0.7566137566137566,0.8571428571428571,15466,14899,567
bart,RandomForest,2,43,Wikidata,0.5,0.375,0.42857142857142855,542,534,8
bart,LogisticRegression,2,43,ChEMBL,0.1984369690791709,0.9182389937106918,0.3263481419390891,16648,16012,636
bart,LogisticRegression,2,43,Magellan,0.4838709677419355,1.0,0.6521739130434783,76,61,15
bart,LogisticRegression,2,43,OpenData,0.39194669756662803,0.981145757795504,0.5601324777478783,82786,81407,1379
bart,LogisticRegression,2,43,TPC-DI,0.2903918411164788,0.9541446208112875,0.44526748971193414,15466,14899,567
bart,LogisticRegression,2,43,Wikidata,0.1111111111111111,0.875,0.19718309859154928,542,534,8
bart,KNN,2,43,ChEMBL,0.9808153477218226,0.6430817610062893,0.7768281101614435,16648,16012,636
bart,KNN,2,43,Magellan,1.0,1.0,1.0,76,61,15
bart,KNN,2,43,OpenData,0.9883236030025021,0.8593183466279913,0.9193173002327386,82786,81407,1379
bart,KNN,2,43,TPC-DI,0.8900523560209425,0.599647266313933,0.7165437302423604,15466,14899,567
bart,KNN,2,43,Wikidata,0.375,0.375,0.375,542,534,8
bart,MLP,2,43,ChEMBL,0.9040852575488455,0.800314465408805,0.8490408673894912,16648,16012,636
bart,MLP,2,43,Magellan,1.0,0.9333333333333333,0.9655172413793104,76,61,15
bart,MLP,2,43,OpenData,0.945985401459854,0.939811457577955,0.9428883230265551,82786,81407,1379
bart,MLP,2,43,TPC-DI,0.8571428571428571,0.8359788359788359,0.8464285714285714,15466,14899,567
bart,MLP,2,43,Wikidata,0.3888888888888889,0.875,0.5384615384615384,542,534,8
bart,CatBoost,2,43,ChEMBL,0.8772919605077574,0.9779874213836478,0.924907063197026,16648,16012,636
bart,CatBoost,2,43,Magellan,1.0,1.0,1.0,76,61,15
bart,CatBoost,2,43,OpenData,0.9127248500999334,0.9934735315445975,0.9513888888888888,82786,81407,1379
bart,CatBoost,2,43,TPC-DI,0.875,0.9876543209876543,0.927920463960232,15466,14899,567
bart,CatBoost,2,43,Wikidata,0.4117647058823529,0.875,0.56,542,534,8
bart,XGBoost,2,43,ChEMBL,0.95141065830721,0.9544025157232704,0.9529042386185244,16648,16012,636
bart,XGBoost,2,43,Magellan,1.0,1.0,1.0,76,61,15
bart,XGBoost,2,43,OpenData,0.9734957020057307,0.9854967367657723,0.9794594594594594,82786,81407,1379
