Family,F1,Recall,Precision,Seed
Topology,0.4371584699453552,0.3510238194734643,0.5793103448275863,2453
Spectral,0.20255141890132777,0.1625574592561638,0.268646408839779,2453
Classiques,0.8931297709923665,0.8800668616798997,0.9065863108049935,2453
Topology+Spectral,0.45357142857142857,0.3715002089427497,0.5821872953503602,2453
Topology+Classiques,0.9033920137398025,0.8792310906811533,0.9289183222958057,2453
Spectral+Classiques,0.8857449088960343,0.8633514417049728,0.909330985915493,2453
Topology+Spectral+Classiques,0.9025862068965518,0.8750522356874216,0.931909212283044,2453
Topology,0.4547932757837347,0.3934748427672956,0.538751345532831,9129
Spectral,0.21185661764705882,0.18121069182389937,0.2549778761061947,9129
Classiques,0.8953054409742683,0.8958333333333334,0.894778170396545,9129
Topology+Spectral,0.4932544378698225,0.40959119496855345,0.6198691255205235,9129
Topology+Classiques,0.9047336106159636,0.8977987421383647,0.9117764471057884,9129
Spectral+Classiques,0.9080250656963816,0.8828616352201258,0.9346650020807324,9129
Topology+Spectral+Classiques,0.9154815115806583,0.8856132075471698,0.947434819175778,9129
Topology,0.5296442687747036,0.4556,0.6324264297612437,9765
Spectral,0.23056430128360378,0.1904,0.2922038060159607,9765
Classiques,0.822753209700428,0.9228,0.7422779922779923,9765
Topology+Spectral,0.5336504161712248,0.4488,0.6580645161290323,9765
Topology+Classiques,0.881079027355623,0.9276,0.8390014471780028,9765
Spectral+Classiques,0.8925588458618071,0.9404,0.849349710982659,9765
Topology+Spectral+Classiques,0.901651940069151,0.9388,0.8673318551367332,9765
Topology,0.45488208926135254,0.4699959726137737,0.4407099697885196,603
Spectral,0.2105479170941925,0.20660491341119613,0.21464435146443514,603
Classiques,0.8973119319280604,0.9343536045106726,0.8630952380952381,603
Topology+Spectral,0.49460545800719274,0.4708014498590415,0.5209447415329769,603
Topology+Classiques,0.9033996683250415,0.8775674587192912,0.9307988039299445,603
Spectral+Classiques,0.9237847569513903,0.9299234796616995,0.9177265500794912,603
Topology+Spectral+Classiques,0.92084270812027,0.9065646395489327,0.9355777223607648,603
Topology,0.5613960417110023,0.46706798866855526,0.7034666666666667,5406
Spectral,0.2727079344820251,0.22698300283286119,0.34150239744272776,5406
