Family,F1,Recall,Precision,Seed
Classiques,0.8543325526932084,0.9506601806810284,0.7757300822228523,4251
Topology,0.549168245946515,0.49600608596424495,0.6150943396226415,1828
Spectral,0.19331175836030204,0.1704069988588817,0.22333000997008973,1828
Classiques,0.8567807351077313,0.899961962723469,0.8175535590877678,1828
Topology+Spectral,0.5661352865144335,0.499809813617345,0.6527570789865872,1828
Topology+Classiques,0.8691061350810122,0.9079497907949791,0.833449720670391,1828
Spectral+Classiques,0.8483030189386837,0.8604031951312286,0.8365384615384616,1828
Topology+Spectral+Classiques,0.8749533407988055,0.891593761886649,0.8589226823012093,1828
Topology,0.5095009396533723,0.4642313546423135,0.5645534474780194,2317
Spectral,0.23504474799811587,0.18987823439878235,0.3084054388133498,2317
Classiques,0.9086930574895564,0.8691019786910198,0.9520633597332222,2317
Topology+Spectral,0.5276507276507276,0.4828767123287671,0.581576535288726,2317
Topology+Classiques,0.9180982820615262,0.8744292237442922,0.9663582842724979,2317
Spectral+Classiques,0.9195402298850575,0.867579908675799,0.9781209781209781,2317
Topology+Spectral+Classiques,0.9301765650080257,0.8820395738203958,0.9838709677419355,2317
Topology,0.4728434504792332,0.455559830704117,0.49149024491490245,5418
Spectral,0.1896517804446193,0.18545594459407463,0.19404186795491143,5418
Classiques,0.8858657243816255,0.9646017699115044,0.8190133943155832,5418
Topology+Spectral,0.5173219978746015,0.46825702193151214,0.5778727445394112,5418
Topology+Classiques,0.9061691909863318,0.9438245479030396,0.8714031971580817,5418
Spectral+Classiques,0.9025231439462698,0.9565217391304348,0.8542955326460481,5418
Topology+Spectral+Classiques,0.9077883908890522,0.9507502885725279,0.8685413005272408,5418
Topology,0.549800796812749,0.48093480934809346,0.6416849015317286,9035
Spectral,0.24589394650398874,0.21484214842148422,0.2874382885353812,9035
Classiques,0.8954725641560609,0.8798687986879868,0.9116397621070518,9035
Topology+Spectral,0.5701548568747067,0.4981549815498155,0.6664838178826111,9035
Topology+Classiques,0.9160929432013769,0.8728987289872898,0.9637845178813943,9035
Spectral+Classiques,0.9130620985010707,0.8741287412874129,0.9556252801434334,9035
Topology+Spectral+Classiques,0.9080360979802321,0.8663386633866339,0.9539503386004514,9035
Topology,0.5093378607809848,0.45836516424751717,0.5730659025787965,5038
Spectral,0.27206045787952876,0.23376623376623376,0.3253588516746411,5038
Classiques,0.8622691292875989,0.9362108479755539,0.7991522660580371,5038
Topology+Spectral,0.5616809760506101,0.47478991596638653,0.6875,5038
Topology+Classiques,0.8928571428571429,0.926279602750191,0.8617626154939588,5038
Spectral+Classiques,0.8946693533614215,0.9327731092436975,0.8595564941921858,5038
Topology+Spectral+Classiques,0.8901648453417299,0.9178762414056532,0.8640776699029126,5038
Topology,0.5173725589652549,0.4131227217496962,0.6919945725915875,9124
Spectral,0.26381377850928756,0.22721749696233293,0.31446188340807174,9124
Classiques,0.9056384421623717,0.9465370595382746,0.8681277860326895,9124
Topology+Spectral,0.5572556762092794,0.4572701498582422,0.7132027795325332,9124
Topology+Classiques,0.9190559781548664,0.9542324827865533,0.8863807373965388,9124
Spectral+Classiques,0.9192546583850931,0.9590927501012556,0.8825941110696981,9124
Topology+Spectral+Classiques,0.908986395861276,0.9607128392061564,0.8625454545454545,9124
Topology,0.5080608014739751,0.43528018942383584,0.610066371681416,9282
Spectral,0.21882951653944022,0.1866614048934491,0.26439351593068755,9282
Classiques,0.8842378218188554,0.9419889502762431,0.8331588132635253,9282
Topology+Spectral,0.5214669051878354,0.4601420678768745,0.6016511867905057,9282
Topology+Classiques,0.9078287697647512,0.9289660615627466,0.8876319758672699,9282
Spectral+Classiques,0.9082181259600615,0.9333070244672454,0.8844427823485415,9282
Topology+Spectral+Classiques,0.9146294140473419,0.9301499605367008,0.899618320610687,9282
Topology,0.44315713251267197,0.3402520385470719,0.6352941176470588,2812
Spectral,0.20093240093240095,0.1597479614529281,0.2707286432160804,2812
Classiques,0.8599545798637396,0.8421052631578947,0.8785769528228925,2812
Topology+Spectral,0.4776476213244083,0.3702742772424018,0.6727272727272727,2812
Topology+Classiques,0.8730189786734495,0.8269088213491476,0.9245752175714878,2812
Spectral+Classiques,0.8819351123056249,0.8513713862120089,0.9147749900438072,2812
Topology+Spectral+Classiques,0.8834729626808835,0.859896219421794,0.9083790133124511,2812
Topology,0.506323292710968,0.42216257668711654,0.6323951751866743,6098
Spectral,0.22,0.17714723926380369,0.29020100502512564,6098
Classiques,0.8793598686910136,0.82170245398773,0.9457193292144749,6098
Topology+Spectral,0.5361880381661625,0.44171779141104295,0.6820603907637656,6098
Topology+Classiques,0.8960852633736421,0.8381901840490797,0.9625715543813298,6098
