benchmark,scenario,dataset,source_table,target_table,ncols_src,ncols_tgt,nrows_src,nrows_tgt,nmatches,method,runtime,mrr,All_Precision,All_F1Score,All_Recall,All_PrecisionTop10Percent,All_RecallAtSizeofGroundTruth,One2One_Precision,One2One_F1Score,One2One_Recall,One2One_PrecisionTop10Percent,One2One_RecallAtSizeofGroundTruth,type
valentine,,OpenData,miller2_both_50_1_ac2_ev_source.csv,miller2_both_50_1_ac2_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoGPT,113.67655110359192,1.0,0.0526315789473684,0.1,1.0,0.0,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac2_ev_source.csv,miller2_both_50_1_ac2_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFT,8.170300722122192,1.0,0.0384615384615384,0.074074074074074,1.0,0.0,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac2_ev_source.csv,miller2_both_50_1_ac2_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFTGPT,107.6876893043518,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac3_ev_source.csv,miller2_both_50_1_ac3_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,Magneto,8.315520286560059,1.0,0.0384615384615384,0.074074074074074,1.0,0.0,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac3_ev_source.csv,miller2_both_50_1_ac3_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoGPT,127.89738941192628,1.0,0.0555555555555555,0.1052631578947368,1.0,0.0,0.0,0.0769230769230769,0.1428571428571428,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac3_ev_source.csv,miller2_both_50_1_ac3_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFT,7.901030540466309,1.0,0.0384615384615384,0.074074074074074,1.0,0.3333333333333333,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac3_ev_source.csv,miller2_both_50_1_ac3_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFTGPT,145.73482203483582,1.0,0.0588235294117647,0.1111111111111111,1.0,0.5,1.0,0.0666666666666666,0.125,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac1_ev_source.csv,miller2_both_50_1_ac1_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,Magneto,9.097078323364258,1.0,0.0384615384615384,0.074074074074074,1.0,0.3333333333333333,1.0,0.0714285714285714,0.1333333333333333,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac1_ev_source.csv,miller2_both_50_1_ac1_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoGPT,137.3042848110199,1.0,0.0555555555555555,0.1052631578947368,1.0,0.5,1.0,0.0666666666666666,0.125,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac1_ev_source.csv,miller2_both_50_1_ac1_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFT,7.716910839080811,1.0,0.0384615384615384,0.074074074074074,1.0,0.3333333333333333,1.0,0.0714285714285714,0.1333333333333333,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac1_ev_source.csv,miller2_both_50_1_ac1_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFTGPT,130.0745484828949,1.0,0.0625,0.1176470588235294,1.0,0.5,1.0,0.0769230769230769,0.1428571428571428,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac4_ev_source.csv,miller2_both_50_1_ac4_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,Magneto,8.450131893157959,1.0,0.0384615384615384,0.074074074074074,1.0,0.3333333333333333,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac4_ev_source.csv,miller2_both_50_1_ac4_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoGPT,137.84135460853577,1.0,0.0526315789473684,0.1,1.0,0.5,1.0,0.0714285714285714,0.1333333333333333,1.0,0.5,1.0,Joinable
valentine,,OpenData,miller2_both_50_1_ac4_ev_source.csv,miller2_both_50_1_ac4_ev_target.csv,26.0,26.0,11627.0,17440.0,1.0,MagnetoFT,8.179164171218872,1.0,0.0384615384615384,0.074074074074074,1.0,0.0,0.0,0.0714285714285714,0.1333333333333333,1.0,0.0,0.0,Joinable
