Family,F1,Recall,Precision,Seed
Classiques,0.9056131569538792,0.9231049562682216,0.8887719298245614,5619
Topology,0.5313670411985019,0.4214630523579651,0.7188093730208993,4500
Spectral,0.2488328664799253,0.19792053471964352,0.33500942803268385,4500
Classiques,0.8863944261660538,0.850352766431489,0.9256265157639451,4500
Topology+Spectral,0.545968882602546,0.4300037133308578,0.7475790832795352,4500
Topology+Classiques,0.8878558977338756,0.8510954326030449,0.9279352226720647,4500
Spectral+Classiques,0.9072564998059759,0.8681767545488303,0.9500203169443315,4500
Topology+Spectral+Classiques,0.912485414235706,0.8711474192350538,0.957942017149857,4500
Topology,0.5182710377949468,0.4916798732171157,0.5479028697571744,6030
Spectral,0.2780289330922242,0.2436608557844691,0.3236842105263158,6030
Classiques,0.930720506730008,0.9314580031695721,0.9299841772151899,6030
Topology+Spectral,0.5487394957983194,0.5174326465927099,0.5840787119856887,6030
Topology+Classiques,0.9247967479674797,0.9013470681458003,0.9494991652754591,6030
Spectral+Classiques,0.929902755267423,0.909270998415214,0.9514925373134329,6030
Topology+Spectral+Classiques,0.9276613234689683,0.8942155309033281,0.9637062339880444,6030
Topology,0.5154120360662613,0.44256391789701116,0.6169678714859438,6351
Spectral,0.2196855481369804,0.1836514223982715,0.2733118971061093,6351
Classiques,0.9068636281751036,0.9063737846597048,0.9073540014419611,6351
Topology+Spectral,0.5279900846932452,0.4602088584803745,0.6191860465116279,6351
Topology+Classiques,0.9315568534404088,0.9189773136478214,0.9444855662472242,6351
Spectral+Classiques,0.9383164005805515,0.9312207418077062,0.9455210237659963,6351
Topology+Spectral+Classiques,0.9332844574780058,0.91681670867843,0.950354609929078,6351
Topology,0.5843042426907012,0.5009423294383717,0.7009493670886076,8438
Spectral,0.28160657234139663,0.2325669053901244,0.3568536726431463,8438
Classiques,0.8916512059369203,0.9057670561628345,0.8779685787358421,8438
Topology+Spectral,0.5993355481727575,0.5099886920467396,0.7266380236305048,8438
Topology+Classiques,0.9019680653546231,0.9155672823218998,0.8887669227954629,8438
Spectral+Classiques,0.9109830886452333,0.9238597813795703,0.8984604105571847,8438
Topology+Spectral+Classiques,0.9033102674396858,0.9102902374670184,0.8964365256124721,8438
Topology,0.5238285943131759,0.4497936726272352,0.6270373921380633,6768
Spectral,0.23032200357781754,0.17709766162310867,0.32928388746803067,6768
Classiques,0.8650325783431585,0.9587345254470426,0.7880158281514981,6768
