Family,F1,Recall,Precision,Seed
Classiques,0.904265402843602,0.9386068476977568,0.8723482077542063,4647
Topology,0.4678899082568807,0.4125159642401022,0.5404350250976018,102
Spectral,0.1978831109065807,0.183056619838229,0.215322984476715,102
Classiques,0.8606241983753741,0.8569604086845466,0.8643194504079004,102
Topology,0.488420087135978,0.3944444444444444,0.6411800120409392,979
Spectral,0.2051646529258469,0.1603703703703703,0.284681130834977,979
Classiques,0.9204881656804734,0.9218518518518518,0.9191285081240768,979
Topology,0.5541965415436525,0.473342939481268,0.6683621566632757,8303
Spectral,0.24925309432351686,0.21037463976945245,0.3057591623036649,8303
Classiques,0.8614379084967321,0.9495677233429395,0.7882775119617225,8303
Topology+Spectral,0.5603177921806398,0.4827089337175792,0.6676631788739412,8303
Topology+Classiques,0.9064970780336885,0.9499279538904899,0.8668639053254438,8303
Spectral+Classiques,0.908874127065236,0.9610951008645533,0.8620355411954765,8303
Topology+Spectral+Classiques,0.9142165340712556,0.9520893371757925,0.8792415169660679,8303
Topology,0.4428660956757886,0.4019719378081153,0.4930232558139535,4477
Spectral,0.21362299162706494,0.17899127796738717,0.2648709315375982,4477
Classiques,0.9180643917486023,0.9029199848312476,0.9337254901960784,4477
Topology+Spectral,0.5127610208816705,0.4190367842244975,0.6604901374775852,4477
Topology+Classiques,0.9218318199763127,0.8854759196056124,0.961300946891725,4477
Spectral+Classiques,0.921202593829829,0.8888888888888888,0.9559543230016313,4477
Topology+Spectral+Classiques,0.9260947097285516,0.8862343572241184,0.9697095435684647,4477
Topology,0.5203488372093024,0.44161184210526316,0.6332547169811321,5072
Spectral,0.2714973629901399,0.24342105263157895,0.3068947641264904,5072
Classiques,0.8033554428404214,0.8466282894736842,0.7642910170749815,5072
Topology+Spectral,0.5395172740179839,0.46875,0.6354515050167224,5072
Topology+Classiques,0.8539786710418376,0.8560855263157895,0.8518821603927987,5072
Spectral+Classiques,0.8814551536692452,0.8667763157894737,0.8966397277754147,5072
Topology+Spectral+Classiques,0.8768756423432682,0.8770559210526315,0.8766954377311961,5072
