Family,F1,Recall,Precision,Seed
Spectral,0.2872811643113267,0.2548652694610778,0.3291445142580957,9336
Classiques,0.9158134243458476,0.9038173652694612,0.928132205995388,9336
Topology,0.5409762651141962,0.4733542319749216,0.6311389759665622,3224
Spectral,0.2463874602008327,0.1971003134796238,0.3285434356629654,3224
Classiques,0.8828638000423639,0.8166144200626959,0.9608114338404796,3224
Topology,0.4959475106136626,0.435593220338983,0.5757168458781362,486
Spectral,0.2213858755811379,0.1694915254237288,0.3190810465858328,486
Classiques,0.9181532004197271,0.8898305084745762,0.9483381502890174,486
Topology,0.4678837052062204,0.4447300771208226,0.4935805991440798,7075
Spectral,0.2349858047608648,0.2305055698371893,0.2396436525612472,7075
Classiques,0.8976052848885219,0.9314481576692374,0.8661354581673307,7075
Topology,0.4767770079548371,0.3738430583501006,0.6579320113314447,6854
Spectral,0.2082149315422371,0.1621730382293762,0.2907647907647908,6854
Classiques,0.8238285506719942,0.9126760563380282,0.7507447864945382,6854
Topology,0.5114486510995239,0.3950963222416813,0.7249357326478149,4507
Spectral,0.2593220338983051,0.2143607705779334,0.3281501340482574,4507
Classiques,0.8650530503978779,0.9138353765323992,0.8212149826880705,4507
Topology,0.5259909802990743,0.4225781845919146,0.6964173475801383,9815
Spectral,0.2312163616792249,0.2048054919908467,0.2654473554127533,9815
Classiques,0.8628202893498345,0.9439359267734554,0.7945425361155698,9815
Topology,0.5215819209039548,0.4178131788559015,0.6939266386049309,1061
Spectral,0.2457365933840148,0.2165097755249819,0.2840855106888361,1061
Classiques,0.8549749956889119,0.8975380159304851,0.8162660520250247,1061
Topology,0.46637784893576945,0.4811504080839487,0.45248538011695905,1843
Spectral,0.2490632576592462,0.21958802953750486,0.2876782077393075,1843
Classiques,0.9232544720138488,0.9327633113097551,0.913937547600914,1843
Topology+Spectral,0.5130999790400336,0.47570928876797514,0.556869881710646,1843
Topology+Classiques,0.9196698208173948,0.8876797512631169,0.9540517961570593,1843
Spectral+Classiques,0.9383588535531998,0.9288767975126312,0.9480364934549782,1843
Topology+Spectral+Classiques,0.9324297388877816,0.9090555771472989,0.957037643207856,1843
Topology,0.4651685393258427,0.4143314651721377,0.5302254098360656,2532
Spectral,0.23547008547008547,0.22057646116893515,0.25252062328139324,2532
Classiques,0.8738461538461538,0.8526821457165733,0.8960875052587295,2532
Topology+Spectral,0.50426944971537,0.4255404323458767,0.6187427240977881,2532
Topology+Classiques,0.8995215311004785,0.8654923939151321,0.9363360762234734,2532
Spectral+Classiques,0.9027522935779817,0.8863090472377902,0.919817199833818,2532
Topology+Spectral+Classiques,0.8903330625507717,0.877502001601281,0.9035449299258038,2532
Topology,0.47036950964443414,0.4079000403063281,0.5554335894621295,6345
Spectral,0.26025124437070396,0.22128174123337363,0.3158803222094361,6345
Classiques,0.8747738693467336,0.8770656993147924,0.8724939855653568,6345
Topology+Spectral,0.4637803590285111,0.44256348246674726,0.487133984028394,6345
Topology+Classiques,0.9228605865809562,0.9258363563079404,0.9199038846615939,6345
Spectral+Classiques,0.9005728314238952,0.8871422813381701,0.9144162858329872,6345
Topology+Spectral+Classiques,0.914722445695897,0.9165659008464329,0.9128863910076275,6345
Topology,0.4715219421101774,0.38344722854973423,0.6121212121212121,2300
Spectral,0.24614027348919276,0.21184510250569477,0.29368421052631577,2300
Classiques,0.8841512469831054,0.8344722854973424,0.9401197604790419,2300
Topology+Spectral,0.498268298314477,0.40964312832194383,0.6358279316440778,2300
Topology+Classiques,0.9051567239635996,0.8496583143507973,0.9684119428818693,2300
Spectral+Classiques,0.9092741935483871,0.8561123766135156,0.969475494411006,2300
Topology+Spectral+Classiques,0.9124849458048976,0.8629460895975702,0.9680579216354344,2300
Topology,0.5290409725348942,0.45702061454686893,0.6280064136825227,288
Spectral,0.21524064171122995,0.18786464410735124,0.2519561815336463,288
Classiques,0.9004506349856616,0.8549202644885259,0.9511034184335785,288
Topology+Spectral,0.5501405810684161,0.45663166083236095,0.6918090748379493,288
Topology+Classiques,0.9139917695473251,0.8638661999222093,0.9702927042376583,288
Spectral+Classiques,0.9216045611891672,0.8802022559315441,0.9670940170940171,288
Topology+Spectral+Classiques,0.9216965742251223,0.8790353947880202,0.9687098156879554,288
Topology,0.5173725589652549,0.4131227217496962,0.6919945725915875,9124
Spectral,0.27928132817830337,0.24868367760226812,0.3184647302904564,9124
Classiques,0.9056384421623717,0.9465370595382746,0.8681277860326895,9124
Topology+Spectral,0.5572556762092794,0.4572701498582422,0.7132027795325332,9124
