embedding_model,classifier,repeat,seed,precision,recall,f1,Recall@GS,MRR,nb_0,nb_1,elapsed_train,elapsed_test,n_features_used
distilbert,XGBoost,8,49,0.9688940092165899,0.9651874521805662,0.9670371789957838,0.928212624461689,0.9473931275831899,112942,2614,18.91251,1.38162,80
minilm,XGBoost,8,49,0.965675057208238,0.9686304514154552,0.9671504965622613,0.9331186188089017,0.9512394284047826,112942,2614,19.67023,1.39076,80
roberta,XGBoost,8,49,0.9688940092165899,0.9651874521805662,0.9670371789957838,0.928212624461689,0.9473931275831899,112942,2614,18.88976,1.38371,80
albert,XGBoost,9,50,0.952808988764045,0.981860285604014,0.9671165177722867,0.9484922161253144,0.8491379310344828,109032,2591,19.13377,1.45158,80
bart,XGBoost,9,50,0.952808988764045,0.981860285604014,0.9671165177722867,0.9484922161253144,0.8491379310344828,109032,2591,18.80525,1.4524,80
bert,XGBoost,9,50,0.952808988764045,0.981860285604014,0.9671165177722867,0.9484922161253144,0.8491379310344828,109032,2591,19.13576,1.44854,80
distilbert,XGBoost,9,50,0.952808988764045,0.981860285604014,0.9671165177722867,0.9484922161253144,0.8491379310344828,109032,2591,19.2194,1.45693,80
minilm,XGBoost,9,50,0.9546816479400749,0.9837900424546507,0.9690172970918076,0.9593856997044417,0.8527298850574713,109032,2591,19.17532,1.43899,80
roberta,XGBoost,9,50,0.952808988764045,0.981860285604014,0.9671165177722867,0.9484922161253144,0.8491379310344828,109032,2591,19.10533,1.45998,80
albert,XGBoost,10,51,0.9593653250773994,0.9713949843260188,0.9653426791277259,0.9781909880531862,0.84251968503937,110219,2552,18.8635,1.47575,80
bart,XGBoost,10,51,0.9593653250773994,0.9713949843260188,0.9653426791277259,0.9781909880531862,0.84251968503937,110219,2552,18.73053,1.48217,80
bert,XGBoost,10,51,0.9593653250773994,0.9713949843260188,0.9653426791277259,0.9781909880531862,0.84251968503937,110219,2552,18.62987,1.46996,80
distilbert,XGBoost,10,51,0.9593653250773994,0.9713949843260188,0.9653426791277259,0.9781909880531862,0.84251968503937,110219,2552,18.76424,1.47352,80
minilm,XGBoost,10,51,0.9572089437162683,0.9729623824451411,0.9650213758258842,0.9768592747832365,0.84251968503937,110219,2552,18.89734,1.48078,80
roberta,XGBoost,10,51,0.9593653250773994,0.9713949843260188,0.9653426791277259,0.9781909880531862,0.84251968503937,110219,2552,18.57215,1.44252,80
