embedding_model,classifier,repeat,seed,category,precision,recall,f1,Recall@GS,MRR,nb_test,nb_0,nb_1,n_features_used
bart,XGBoost,8,49,Wikidata,0.9090909090909091,0.37037037037037035,0.5263157894736842,0.631578947368421,0.6659463601532567,596,569,27,80
bert,XGBoost,8,49,ChEMBL,0.9590163934426229,0.975,0.9669421487603306,0.9764508984823826,1.0,15749,15149,600,80
bert,XGBoost,8,49,Magellan,1.0,1.0,1.0,1.0,1.0,74,62,12,80
bert,XGBoost,8,49,OpenData,0.9740634005763689,0.9811320754716981,0.9775849602313811,0.9870534903125628,1.0,83345,81967,1378,80
bert,XGBoost,8,49,TPC-DI,0.967409948542024,0.9447236180904522,0.9559322033898305,0.9616678186880587,1.0,15792,15195,597,80
bert,XGBoost,8,49,Wikidata,0.9090909090909091,0.37037037037037035,0.5263157894736842,0.631578947368421,0.6659463601532567,596,569,27,80
distilbert,XGBoost,8,49,ChEMBL,0.9590163934426229,0.975,0.9669421487603306,0.9764508984823826,1.0,15749,15149,600,80
distilbert,XGBoost,8,49,Magellan,1.0,1.0,1.0,1.0,1.0,74,62,12,80
distilbert,XGBoost,8,49,OpenData,0.9740634005763689,0.9811320754716981,0.9775849602313811,0.9870534903125628,1.0,83345,81967,1378,80
distilbert,XGBoost,8,49,TPC-DI,0.967409948542024,0.9447236180904522,0.9559322033898305,0.9616678186880587,1.0,15792,15195,597,80
distilbert,XGBoost,8,49,Wikidata,0.9090909090909091,0.37037037037037035,0.5263157894736842,0.631578947368421,0.6659463601532567,596,569,27,80
minilm,XGBoost,8,49,ChEMBL,0.9545454545454546,0.98,0.9671052631578947,0.9706840091997513,1.0,15749,15149,600,80
minilm,XGBoost,8,49,Magellan,1.0,1.0,1.0,1.0,1.0,74,62,12,80
minilm,XGBoost,8,49,OpenData,0.9665003563791874,0.9840348330914369,0.9751887810140237,0.9840795298433462,1.0,83345,81967,1378,80
minilm,XGBoost,8,49,TPC-DI,0.9758620689655172,0.948073701842546,0.9617672047578589,0.957234442559848,1.0,15792,15195,597,80
minilm,XGBoost,8,49,Wikidata,0.9090909090909091,0.37037037037037035,0.5263157894736842,0.6842105263157895,0.6903703703703703,596,569,27,80
roberta,XGBoost,8,49,ChEMBL,0.9590163934426229,0.975,0.9669421487603306,0.9764508984823826,1.0,15749,15149,600,80
roberta,XGBoost,8,49,Magellan,1.0,1.0,1.0,1.0,1.0,74,62,12,80
roberta,XGBoost,8,49,OpenData,0.9740634005763689,0.9811320754716981,0.9775849602313811,0.9870534903125628,1.0,83345,81967,1378,80
roberta,XGBoost,8,49,TPC-DI,0.967409948542024,0.9447236180904522,0.9559322033898305,0.9616678186880587,1.0,15792,15195,597,80
roberta,XGBoost,8,49,Wikidata,0.9090909090909091,0.37037037037037035,0.5263157894736842,0.631578947368421,0.6659463601532567,596,569,27,80
albert,XGBoost,9,50,ChEMBL,0.9538077403245943,0.9794871794871794,0.9664769133459835,0.9748724997753789,1.0,20046,19266,780,80
albert,XGBoost,9,50,OpenData,0.9748376623376623,0.982011447260834,0.9784114052953157,0.9896804953752951,1.0,75060,73837,1223,80
albert,XGBoost,9,50,TPC-DI,0.9712351945854484,0.9845626072041166,0.9778534923339012,0.9955427758946821,1.0,15414,14831,583,80
albert,XGBoost,9,50,Wikidata,0.10869565217391304,1.0,0.19607843137254902,0.2,0.125,1103,1098,5,80
bart,XGBoost,9,50,ChEMBL,0.9538077403245943,0.9794871794871794,0.9664769133459835,0.9748724997753789,1.0,20046,19266,780,80
bart,XGBoost,9,50,OpenData,0.9748376623376623,0.982011447260834,0.9784114052953157,0.9896804953752951,1.0,75060,73837,1223,80
bart,XGBoost,9,50,TPC-DI,0.9712351945854484,0.9845626072041166,0.9778534923339012,0.9955427758946821,1.0,15414,14831,583,80
bart,XGBoost,9,50,Wikidata,0.10869565217391304,1.0,0.19607843137254902,0.2,0.125,1103,1098,5,80
bert,XGBoost,9,50,ChEMBL,0.9538077403245943,0.9794871794871794,0.9664769133459835,0.9748724997753789,1.0,20046,19266,780,80
bert,XGBoost,9,50,OpenData,0.9748376623376623,0.982011447260834,0.9784114052953157,0.9896804953752951,1.0,75060,73837,1223,80
bert,XGBoost,9,50,TPC-DI,0.9712351945854484,0.9845626072041166,0.9778534923339012,0.9955427758946821,1.0,15414,14831,583,80
bert,XGBoost,9,50,Wikidata,0.10869565217391304,1.0,0.19607843137254902,0.2,0.125,1103,1098,5,80
distilbert,XGBoost,9,50,ChEMBL,0.9538077403245943,0.9794871794871794,0.9664769133459835,0.9748724997753789,1.0,20046,19266,780,80
distilbert,XGBoost,9,50,OpenData,0.9748376623376623,0.982011447260834,0.9784114052953157,0.9896804953752951,1.0,75060,73837,1223,80
distilbert,XGBoost,9,50,TPC-DI,0.9712351945854484,0.9845626072041166,0.9778534923339012,0.9955427758946821,1.0,15414,14831,583,80
distilbert,XGBoost,9,50,Wikidata,0.10869565217391304,1.0,0.19607843137254902,0.2,0.125,1103,1098,5,80
minilm,XGBoost,9,50,ChEMBL,0.9609571788413098,0.9782051282051282,0.9695044472681067,0.9721962810665515,1.0,20046,19266,780,80
minilm,XGBoost,9,50,OpenData,0.9741935483870968,0.9877350776778414,0.9809175801867641,0.9919192370258013,1.0,75060,73837,1223,80
minilm,XGBoost,9,50,TPC-DI,0.9712351945854484,0.9845626072041166,0.9778534923339012,0.9977072780591842,1.0,15414,14831,583,80
minilm,XGBoost,9,50,Wikidata,0.08888888888888889,0.8,0.16,0.4,0.14583333333333331,1103,1098,5,80
roberta,XGBoost,9,50,ChEMBL,0.9538077403245943,0.9794871794871794,0.9664769133459835,0.9748724997753789,1.0,20046,19266,780,80
roberta,XGBoost,9,50,OpenData,0.9748376623376623,0.982011447260834,0.9784114052953157,0.9896804953752951,1.0,75060,73837,1223,80
roberta,XGBoost,9,50,TPC-DI,0.9712351945854484,0.9845626072041166,0.9778534923339012,0.9955427758946821,1.0,15414,14831,583,80
roberta,XGBoost,9,50,Wikidata,0.10869565217391304,1.0,0.19607843137254902,0.2,0.125,1103,1098,5,80
albert,XGBoost,10,51,ChEMBL,0.9708588957055214,0.9634703196347032,0.9671504965622613,0.9681459267412258,1.0,17339,16682,657,80
albert,XGBoost,10,51,Magellan,1.0,1.0,1.0,1.0,1.0,99,82,17,80
albert,XGBoost,10,51,OpenData,0.9784345047923323,0.9729944400317713,0.9757068896853843,0.9788582170419116,1.0,78305,77046,1259,80
albert,XGBoost,10,51,TPC-DI,0.9664,0.975767366720517,0.9710610932475884,0.9762413789775107,1.0,16094,15475,619,80
albert,XGBoost,10,51,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
bart,XGBoost,10,51,ChEMBL,0.9708588957055214,0.9634703196347032,0.9671504965622613,0.9681459267412258,1.0,17339,16682,657,80
bart,XGBoost,10,51,Magellan,1.0,1.0,1.0,1.0,1.0,99,82,17,80
bart,XGBoost,10,51,OpenData,0.9784345047923323,0.9729944400317713,0.9757068896853843,0.9788582170419116,1.0,78305,77046,1259,80
bart,XGBoost,10,51,TPC-DI,0.9664,0.975767366720517,0.9710610932475884,0.9762413789775107,1.0,16094,15475,619,80
bart,XGBoost,10,51,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
bert,XGBoost,10,51,ChEMBL,0.9708588957055214,0.9634703196347032,0.9671504965622613,0.9681459267412258,1.0,17339,16682,657,80
bert,XGBoost,10,51,Magellan,1.0,1.0,1.0,1.0,1.0,99,82,17,80
bert,XGBoost,10,51,OpenData,0.9784345047923323,0.9729944400317713,0.9757068896853843,0.9788582170419116,1.0,78305,77046,1259,80
bert,XGBoost,10,51,TPC-DI,0.9664,0.975767366720517,0.9710610932475884,0.9762413789775107,1.0,16094,15475,619,80
bert,XGBoost,10,51,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
distilbert,XGBoost,10,51,ChEMBL,0.9708588957055214,0.9634703196347032,0.9671504965622613,0.9681459267412258,1.0,17339,16682,657,80
distilbert,XGBoost,10,51,Magellan,1.0,1.0,1.0,1.0,1.0,99,82,17,80
distilbert,XGBoost,10,51,OpenData,0.9784345047923323,0.9729944400317713,0.9757068896853843,0.9788582170419116,1.0,78305,77046,1259,80
distilbert,XGBoost,10,51,TPC-DI,0.9664,0.975767366720517,0.9710610932475884,0.9762413789775107,1.0,16094,15475,619,80
distilbert,XGBoost,10,51,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
minilm,XGBoost,10,51,ChEMBL,0.9694189602446484,0.9649923896499238,0.9672006102212052,0.9686896109430809,1.0,17339,16682,657,80
minilm,XGBoost,10,51,Magellan,1.0,1.0,1.0,1.0,1.0,99,82,17,80
minilm,XGBoost,10,51,OpenData,0.9777070063694268,0.9753772835583797,0.9765407554671968,0.9774558681074464,1.0,78305,77046,1259,80
minilm,XGBoost,10,51,TPC-DI,0.9602543720190779,0.975767366720517,0.967948717948718,0.9724469125743487,1.0,16094,15475,619,80
minilm,XGBoost,10,51,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
roberta,XGBoost,10,51,ChEMBL,0.9708588957055214,0.9634703196347032,0.9671504965622613,0.9681459267412258,1.0,17339,16682,657,80
roberta,XGBoost,10,51,Magellan,1.0,1.0,1.0,1.0,1.0,99,82,17,80
roberta,XGBoost,10,51,OpenData,0.9784345047923323,0.9729944400317713,0.9757068896853843,0.9788582170419116,1.0,78305,77046,1259,80
roberta,XGBoost,10,51,TPC-DI,0.9664,0.975767366720517,0.9710610932475884,0.9762413789775107,1.0,16094,15475,619,80
roberta,XGBoost,10,51,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
