embedding_model,classifier,repeat,seed,category,precision,recall,f1,Recall@GS,MRR,nb_test,nb_0,nb_1,n_features_used
albert,XGBoost,2,43,OpenData,0.9765729585006694,0.9838165879973028,0.98018139066174,0.9841964670798452,1.0,91395,89912,1483,80
albert,XGBoost,2,43,TPC-DI,0.9602543720190779,0.9726247987117552,0.9664,0.9718211545026062,1.0,15736,15115,621,80
albert,XGBoost,2,43,Wikidata,0.3181818181818182,0.7368421052631579,0.4444444444444444,0.3684210526315789,0.5116545689416541,1334,1315,19,80
bart,XGBoost,2,43,ChEMBL,0.9737373737373738,0.9897330595482546,0.9816700610997964,0.9855492543583281,1.0,14033,13546,487,80
bart,XGBoost,2,43,Magellan,1.0,1.0,1.0,1.0,1.0,106,92,14,80
bart,XGBoost,2,43,OpenData,0.9765729585006694,0.9838165879973028,0.98018139066174,0.9841964670798452,1.0,91395,89912,1483,80
bart,XGBoost,2,43,TPC-DI,0.9602543720190779,0.9726247987117552,0.9664,0.9718211545026062,1.0,15736,15115,621,80
bart,XGBoost,2,43,Wikidata,0.3181818181818182,0.7368421052631579,0.4444444444444444,0.3684210526315789,0.5116545689416541,1334,1315,19,80
bert,XGBoost,2,43,ChEMBL,0.9737373737373738,0.9897330595482546,0.9816700610997964,0.9855492543583281,1.0,14033,13546,487,80
bert,XGBoost,2,43,Magellan,1.0,1.0,1.0,1.0,1.0,106,92,14,80
bert,XGBoost,2,43,OpenData,0.9765729585006694,0.9838165879973028,0.98018139066174,0.9841964670798452,1.0,91395,89912,1483,80
bert,XGBoost,2,43,TPC-DI,0.9602543720190779,0.9726247987117552,0.9664,0.9718211545026062,1.0,15736,15115,621,80
bert,XGBoost,2,43,Wikidata,0.3181818181818182,0.7368421052631579,0.4444444444444444,0.3684210526315789,0.5116545689416541,1334,1315,19,80
distilbert,XGBoost,2,43,ChEMBL,0.9737373737373738,0.9897330595482546,0.9816700610997964,0.9855492543583281,1.0,14033,13546,487,80
distilbert,XGBoost,2,43,Magellan,1.0,1.0,1.0,1.0,1.0,106,92,14,80
distilbert,XGBoost,2,43,OpenData,0.9765729585006694,0.9838165879973028,0.98018139066174,0.9841964670798452,1.0,91395,89912,1483,80
distilbert,XGBoost,2,43,TPC-DI,0.9602543720190779,0.9726247987117552,0.9664,0.9718211545026062,1.0,15736,15115,621,80
distilbert,XGBoost,2,43,Wikidata,0.3181818181818182,0.7368421052631579,0.4444444444444444,0.3684210526315789,0.5116545689416541,1334,1315,19,80
minilm,XGBoost,2,43,ChEMBL,0.9737373737373738,0.9897330595482546,0.9816700610997964,0.9855492543583281,1.0,14033,13546,487,80
minilm,XGBoost,2,43,Magellan,1.0,1.0,1.0,1.0,1.0,106,92,14,80
minilm,XGBoost,2,43,OpenData,0.9765729585006694,0.9838165879973028,0.98018139066174,0.9841964670798452,1.0,91395,89912,1483,80
minilm,XGBoost,2,43,TPC-DI,0.9602543720190779,0.9726247987117552,0.9664,0.9718211545026062,1.0,15736,15115,621,80
minilm,XGBoost,2,43,Wikidata,0.3181818181818182,0.7368421052631579,0.4444444444444444,0.3684210526315789,0.5116545689416541,1334,1315,19,80
roberta,XGBoost,2,43,ChEMBL,0.9737373737373738,0.9897330595482546,0.9816700610997964,0.9855492543583281,1.0,14033,13546,487,80
roberta,XGBoost,2,43,Magellan,1.0,1.0,1.0,1.0,1.0,106,92,14,80
roberta,XGBoost,2,43,OpenData,0.9765729585006694,0.9838165879973028,0.98018139066174,0.9841964670798452,1.0,91395,89912,1483,80
roberta,XGBoost,2,43,TPC-DI,0.9602543720190779,0.9726247987117552,0.9664,0.9718211545026062,1.0,15736,15115,621,80
roberta,XGBoost,2,43,Wikidata,0.3181818181818182,0.7368421052631579,0.4444444444444444,0.3684210526315789,0.5116545689416541,1334,1315,19,80
albert,XGBoost,3,44,ChEMBL,0.935672514619883,0.9495548961424333,0.9425625920471281,0.9474800944938156,1.0,17607,16933,674,80
albert,XGBoost,3,44,Magellan,1.0,1.0,1.0,1.0,1.0,36,30,6,80
albert,XGBoost,3,44,OpenData,0.9549339549339549,0.96015625,0.9575379820802493,0.9677763098554095,1.0,79884,78604,1280,80
albert,XGBoost,3,44,TPC-DI,0.9667221297836939,0.9731993299832495,0.9699499165275459,0.980381430164039,1.0,15254,14657,597,80
albert,XGBoost,3,44,Wikidata,0.85,0.68,0.7555555555555555,0.75,0.7824074074074074,569,544,25,80
bart,XGBoost,3,44,ChEMBL,0.935672514619883,0.9495548961424333,0.9425625920471281,0.9474800944938156,1.0,17607,16933,674,80
bart,XGBoost,3,44,Magellan,1.0,1.0,1.0,1.0,1.0,36,30,6,80
bart,XGBoost,3,44,OpenData,0.9549339549339549,0.96015625,0.9575379820802493,0.9677763098554095,1.0,79884,78604,1280,80
bart,XGBoost,3,44,TPC-DI,0.9667221297836939,0.9731993299832495,0.9699499165275459,0.980381430164039,1.0,15254,14657,597,80
bart,XGBoost,3,44,Wikidata,0.85,0.68,0.7555555555555555,0.75,0.7824074074074074,569,544,25,80
bert,XGBoost,3,44,ChEMBL,0.935672514619883,0.9495548961424333,0.9425625920471281,0.9474800944938156,1.0,17607,16933,674,80
